date,closing_price,symbol,type
2019-08-08,2654.0,USD/MNT,forex
2019-08-07,2680.0,USD/MNT,forex
2019-08-06,2665.0,USD/MNT,forex
2019-08-05,2654.0,USD/MNT,forex
2019-08-02,2677.5,USD/MNT,forex
2019-08-01,2682.0,USD/MNT,forex
2019-07-31,2685.5,USD/MNT,forex
2019-07-30,2683.5,USD/MNT,forex
2019-07-29,2679.0,USD/MNT,forex
2019-07-26,2675.0,USD/MNT,forex
2019-07-25,2678.0,USD/MNT,forex
2019-07-24,2684.5,USD/MNT,forex
2019-07-23,2683.5,USD/MNT,forex
2019-07-22,2680.0,USD/MNT,forex
2019-07-19,2678.0,USD/MNT,forex
2019-07-18,2674.5,USD/MNT,forex
2019-07-17,2670.0,USD/MNT,forex
2019-07-16,2676.0,USD/MNT,forex
2019-07-15,2667.0,USD/MNT,forex
2019-07-12,2670.0,USD/MNT,forex
2019-07-11,2660.0,USD/MNT,forex
2019-07-10,2672.5,USD/MNT,forex
2019-07-09,2672.5,USD/MNT,forex
2019-07-08,2675.0,USD/MNT,forex
2019-07-05,2665.0,USD/MNT,forex
2019-07-04,2665.0,USD/MNT,forex
2019-07-03,2665.0,USD/MNT,forex
2019-07-02,2672.5,USD/MNT,forex
2019-07-01,2675.0,USD/MNT,forex
2019-06-28,2665.0,USD/MNT,forex
2019-06-27,2670.0,USD/MNT,forex
2019-06-26,2673.0,USD/MNT,forex
2019-06-25,2673.0,USD/MNT,forex
2019-06-24,2673.0,USD/MNT,forex
2019-06-21,2673.0,USD/MNT,forex
2019-06-20,2646.0,USD/MNT,forex
2019-06-19,2673.5,USD/MNT,forex
2019-06-18,2665.0,USD/MNT,forex
2019-06-17,2647.0,USD/MNT,forex
2019-06-14,2673.5,USD/MNT,forex
2019-06-13,2668.5,USD/MNT,forex
2019-06-12,2650.0,USD/MNT,forex
2019-06-11,2653.0,USD/MNT,forex
2019-06-10,2653.0,USD/MNT,forex
2019-06-07,2650.5,USD/MNT,forex
2019-06-06,2650.5,USD/MNT,forex
2019-06-05,2647.5,USD/MNT,forex
2019-06-04,2651.0,USD/MNT,forex
2019-06-03,2661.5,USD/MNT,forex
2019-05-31,2637.0,USD/MNT,forex
2019-05-30,2651.0,USD/MNT,forex
2019-05-29,2650.0,USD/MNT,forex
2019-05-28,2645.0,USD/MNT,forex
2019-05-27,2655.5,USD/MNT,forex
2019-05-24,2655.5,USD/MNT,forex
